Ticker_ID,Asset_ID,Current_Price,Volatility_Index,Timestamp
TKR_005000,AST_01015,455.25,14.84,2026-05-06 02:46:50
TKR_005001,AST_01048,386.24,76.28,2026-04-25 04:46:50
TKR_005002,AST_01010,162.66,24.83,2026-04-16 19:46:50
TKR_005003,AST_01034,231.97,37.93,2026-05-02 06:46:50
TKR_005004,AST_01042,345.09,27.35,2026-04-28 16:46:50
TKR_005005,AST_01004,99.99,25.42,2026-04-15 17:46:50
TKR_005006,AST_01004,98.31,12.2,2026-04-30 07:46:50
TKR_005007,AST_01021,278.95,25.0,2026-04-10 08:46:50
TKR_005008,AST_01008,817.52,27.01,2026-05-01 18:46:50
TKR_005009,AST_01030,445.55,40.17,2026-05-03 03:46:50
TKR_005010,AST_01027,262.8,55.74,2026-04-21 23:46:50
TKR_005011,AST_01041,871.7,70.32,2026-04-08 23:46:50
TKR_005012,AST_01015,431.69,42.38,2026-04-14 14:46:50
TKR_005013,AST_01004,98.63,55.65,2026-04-22 17:46:50
TKR_005014,AST_01034,236.81,69.41,2026-05-01 02:46:50
TKR_005015,AST_01010,169.9,73.17,2026-04-21 06:46:50
TKR_005016,AST_01010,160.07,64.88,2026-04-17 12:46:50
TKR_005017,AST_01029,691.52,48.9,2026-04-17 23:46:50
TKR_005018,AST_01045,742.76,14.09,2026-04-23 09:46:50
TKR_005019,AST_01047,489.89,50.89,2026-04-22 10:46:50
TKR_005020,AST_01032,258.14,45.55,2026-05-07 05:46:50
TKR_005021,AST_01011,105.5,38.26,2026-04-10 21:46:50
TKR_005022,AST_01036,163.24,39.35,2026-04-15 01:46:50
TKR_005023,AST_01037,415.28,60.13,2026-04-26 08:46:50
TKR_005024,AST_01015,554.14,75.03,2026-04-16 21:46:50
TKR_005025,AST_01004,107.86,15.13,2026-04-08 18:46:50
TKR_005026,AST_01013,839.87,71.55,2026-04-24 11:46:50
TKR_005027,AST_01023,255.18,79.11,2026-04-17 17:46:50
TKR_005028,AST_01041,868.17,56.44,2026-04-21 17:46:50
TKR_005029,AST_01008,831.01,20.88,2026-04-13 03:46:50
TKR_005030,AST_01018,831.37,54.4,2026-04-27 10:46:50
TKR_005031,AST_01016,557.87,39.65,2026-04-24 01:46:50
TKR_005032,AST_01017,640.11,78.59,2026-04-07 00:46:50
TKR_005033,AST_01010,162.73,10.68,2026-05-01 22:46:50
TKR_005034,AST_01004,103.23,68.42,2026-05-08 04:46:50
TKR_005035,AST_01037,408.33,35.53,2026-04-22 04:46:50
TKR_005036,AST_01002,724.64,17.2,2026-05-06 21:46:50
TKR_005037,AST_01049,999.16,62.46,2026-04-25 13:46:50
TKR_005038,AST_01015,530.07,61.56,2026-05-05 05:46:50
TKR_005039,AST_01021,284.3,66.75,2026-05-03 21:46:50
TKR_005040,AST_01017,656.84,12.71,2026-04-13 03:46:50
TKR_005041,AST_01030,457.28,67.44,2026-04-15 14:46:50
TKR_005042,AST_01014,132.22,29.5,2026-04-12 06:46:50
TKR_005043,AST_01004,104.21,37.98,2026-05-08 11:46:50
TKR_005044,AST_01034,235.69,28.29,2026-04-18 03:46:50
TKR_005045,AST_01037,411.18,40.42,2026-05-08 01:46:50
TKR_005046,AST_01046,914.03,18.1,2026-05-03 19:46:50
TKR_005047,AST_01036,160.28,46.39,2026-04-14 22:46:50
TKR_005048,AST_01034,232.51,23.79,2026-04-29 23:46:50
TKR_005049,AST_01027,278.45,56.44,2026-04-10 10:46:50
TKR_005050,AST_01007,226.15,38.17,2026-05-01 16:46:50
TKR_005051,AST_01018,870.89,36.54,2026-04-22 13:46:50
TKR_005052,AST_01047,502.39,48.36,2026-05-06 18:46:50
TKR_005053,AST_01000,121.5,32.56,2026-04-17 13:46:50
TKR_005054,AST_01028,875.25,73.08,2026-04-22 16:46:50
TKR_005055,AST_01047,513.38,54.31,2026-04-13 09:46:50
TKR_005056,AST_01021,267.04,31.73,2026-04-11 00:46:50
TKR_005057,AST_01012,890.11,52.79,2026-04-09 07:46:50
TKR_005058,AST_01049,961.18,60.28,2026-04-10 20:46:50
TKR_005059,AST_01024,281.58,10.39,2026-04-23 04:46:50
TKR_005060,AST_01048,390.75,25.32,2026-05-05 03:46:50
TKR_005061,AST_01044,855.09,69.38,2026-04-24 17:46:50
TKR_005062,AST_01029,660.93,49.12,2026-04-12 21:46:50
TKR_005063,AST_01020,384.74,45.33,2026-05-08 14:46:50
TKR_005064,AST_01035,516.6,41.5,2026-04-22 23:46:50
TKR_005065,AST_01048,390.28,46.49,2026-04-15 08:46:50
TKR_005066,AST_01040,698.08,26.41,2026-04-15 02:46:50
TKR_005067,AST_01021,264.39,26.19,2026-04-18 02:46:50
TKR_005068,AST_01044,869.62,33.16,2026-04-12 02:46:50
TKR_005069,AST_01029,651.6,63.89,2026-04-18 13:46:50
TKR_005070,AST_01044,883.73,43.39,2026-04-09 00:46:50
TKR_005071,AST_01022,641.07,61.42,2026-04-17 13:46:50
TKR_005072,AST_01038,387.24,37.22,2026-05-06 07:46:50
TKR_005073,AST_01042,335.15,42.72,2026-04-29 23:46:50
TKR_005074,AST_01008,818.8,56.41,2026-04-27 12:46:50
TKR_005075,AST_01005,586.71,28.21,2026-04-28 14:46:50
TKR_005076,AST_01020,371.93,62.64,2026-04-14 10:46:50
TKR_005077,AST_01026,784.0,47.76,2026-04-16 15:46:50
TKR_005078,AST_01022,667.83,12.82,2026-04-16 00:46:50
TKR_005079,AST_01001,224.94,43.15,2026-05-08 00:46:50
TKR_005080,AST_01007,234.33,21.75,2026-04-26 14:46:50
TKR_005081,AST_01038,374.76,31.77,2026-05-08 03:46:50
TKR_005082,AST_01037,435.53,77.07,2026-04-08 18:46:50
TKR_005083,AST_01025,694.1,68.14,2026-05-08 02:46:50
TKR_005084,AST_01015,562.11,18.47,2026-04-11 09:46:50
TKR_005085,AST_01036,160.15,35.94,2026-04-30 17:46:50
TKR_005086,AST_01032,278.82,17.39,2026-04-28 13:46:50
TKR_005087,AST_01023,250.73,61.37,2026-04-28 14:46:50
TKR_005088,AST_01041,910.27,42.54,2026-04-16 17:46:50
TKR_005089,AST_01046,900.64,16.07,2026-04-26 07:46:50
TKR_005090,AST_01028,887.28,36.53,2026-04-15 18:46:50
TKR_005091,AST_01001,227.63,28.08,2026-04-23 05:46:50
TKR_005092,AST_01017,668.36,46.16,2026-05-06 08:46:50
TKR_005093,AST_01012,848.05,63.07,2026-04-10 13:46:50
TKR_005094,AST_01044,872.54,11.21,2026-04-23 15:46:50
TKR_005095,AST_01018,840.16,50.71,2026-04-15 07:46:50
TKR_005096,AST_01030,487.32,48.53,2026-04-25 13:46:50
TKR_005097,AST_01022,622.75,18.45,2026-04-30 09:46:50
TKR_005098,AST_01012,887.3,58.31,2026-04-15 17:46:50
TKR_005099,AST_01012,868.09,78.36,2026-04-14 08:46:50
TKR_005100,AST_01033,928.74,30.74,2026-04-27 03:46:50
TKR_005101,AST_01023,246.66,78.2,2026-04-13 22:46:50
TKR_005102,AST_01035,505.45,62.7,2026-04-17 04:46:50
TKR_005103,AST_01006,716.66,40.83,2026-05-02 09:46:50
TKR_005104,AST_01011,97.89,14.57,2026-05-05 15:46:50
TKR_005105,AST_01031,195.93,49.4,2026-04-10 21:46:50
TKR_005106,AST_01019,282.8,51.73,2026-04-10 03:46:50
TKR_005107,AST_01039,257.62,40.99,2026-04-15 12:46:50
TKR_005108,AST_01037,409.12,77.21,2026-04-21 19:46:50
TKR_005109,AST_01006,698.09,56.23,2026-05-08 20:46:50
TKR_005110,AST_01010,158.29,38.6,2026-04-15 02:46:50
TKR_005111,AST_01044,853.54,59.49,2026-04-27 01:46:50
TKR_005112,AST_01044,853.71,28.52,2026-05-05 21:46:50
TKR_005113,AST_01040,678.36,48.12,2026-04-26 06:46:50
TKR_005114,AST_01041,847.97,21.61,2026-04-12 04:46:50
TKR_005115,AST_01019,283.45,42.81,2026-04-27 18:46:50
TKR_005116,AST_01019,285.01,15.63,2026-04-30 08:46:50
TKR_005117,AST_01002,750.97,11.81,2026-05-06 10:46:50
TKR_005118,AST_01014,134.74,11.45,2026-05-08 18:46:50
TKR_005119,AST_01048,362.69,62.94,2026-04-29 18:46:50
TKR_005120,AST_01030,449.47,50.97,2026-04-24 08:46:50
TKR_005121,AST_01040,681.43,38.58,2026-05-04 02:46:50
TKR_005122,AST_01020,383.77,30.18,2026-04-26 05:46:50
